Título;Autores;Data de publicação;Editora
10 Poemas para Catarina;VARIOS AUTORES;;
100 Edições;Grande Reportagem;;
1001 Maneiras de se manter jovem;VARIOS AUTORES;;
1001 Provérbios Adágios e Ditos Populares Portugueses;A. Ferreira;;
15 Minutos pela sua Saude;Readers Digest;;
150 Receitas;VARIOS AUTORES;;
1755  O Grande Terramoto de Lisboa;Edições Público;;
1755 Providências do Marquês de Pombal;Edições Público;;
1755 Sobre as Causas dos Terramotos;Edições Público;;
1808;Laurentino Gomes;2014;Buobooks
1822;Laurentino Gomes;;Globo Livros
1889;Laurentino Gomes;;PORTO EDITORA
1984;George Orwell;;
1Q84  Livro 3;Haruki Murakami;2009;
1Q84 - Livro 1;Haruki Murakami;;Casa das Letras
1Q84 - Livro 2;Haruki Murakami;;Casa das Letras
2 Peças em um Acto;Luis De Sttau Monteiro;;
20 Artistas    1985-2005;Ministério Da Cultura;;
200 Exercícios para o Teatro;Augusto Boal;;
21 Lições para o Século XXI (3.ª Edição);Yuval Noah Harari;;Elsinore
25 de Abril;VARIOS AUTORES;;
28 Minutos e 7 Segundos de Vida;Jose Alberto Carvalho;;Oficina do Livro
300 Sanduiches;VARIOS AUTORES;;
40 Aniversário de Gaibeus;Sociedade Biblica;;
5 Caprichos Teatrais;José Gomes Ferreira;;
5 de Outubro de 1976  Discursos Oficiais;Secretaria De Estado Da Comunicação Social;;
5 Dias  5 Noites;Manuel Tiago;;
5 Meses Mudaram Portugal;Otelo Saraiva De Carvalho;;
8 Histórias;MDP / CDE;;
800 Anos de Poesia Portuguesa;VARIOS AUTORES;;
9 Artistas de Moçambique;EXPO 92;;
A;Anarca;;
A;Anarca;;
A 25 Hora;C. Virgil Gheorghiu;;
A alma trocada;Rosa Lobato de Faria;2013;Leya
A Ameaça;Ken Follett;;Editorial Presença
A Aparição;Vergílio Ferreira;;
A Arma dos Juízes;Clara Pinto Correia;;
A Arte Alemã, Espanhola, Portuguesa e Brasileira até 1900;Dr. Horst Vey, Dr. Xavier De Salas, Dr. José Augusto França;;Editora Grolier
A Arte Chinesa e Japonesas;Michael Sullivan;;Editora Grolier
A Arte em Portugal no Sec. XIX    Volume 2;José Augusto França;;
A Arte Flamenga e Holandesa;A. M. Hammacher, Dr. R. Hammacher Vandenbrande;;Editora Grolier
A Arte Francesa de 1350 a 1850;Michel Laclotte;;Editora Grolier
A Arte Inglesa e Norte-Amercana até 1900;Dr. Kenneth Garlick;;Editora Grolier
A Arte Italiana até 1850;Mario Monteverdi;;Editora Grolier
A Arte Moderna;David Sylvester;;Editora Grolier
A Arte Moderna e Contemporânea Portuguesa de 1900 a 1979;Editora Grolier;;Editora Grolier
A Aventura Boliviana;Che Guevara;;
A Aventura Portuguesa;Augusto Pereira Brandão;;Verbo
A Avó   I;E. Richebourg;;
A Avó II;E. Richebourg;;
A Barca dos Sete Lemes;Alves Redol;;
A Batalha sem Fim V;Aquilino Ribeiro;;
A Biblioteca;Zoran Živkovi?;2002;
A Boa Terra;Pearl Buck;;
A Cabana do Pai Tomás;Harriet Beecher Stowe;;
A Caminho de Fátima;Mário Castrim;;
A Capela Arraiana;Adérito Tavares;;
A Casa de Eulália;Manuel Tiago;;
A Casa e o Mundo;Rabindranath Tagore;;
A Casa e o Mundo;R. Tagore;;
A Casa Grande de Romarigães XVI;Aquilino Ribeiro;;
A Casa Quieta;Rodrigo Guedes De Carvalho;;
A Ceia dos Cardeais;Júlio Dantas;;
A Celulite;VARIOS AUTORES;;Impala
A Chave Para Rebecca;Ken Follett;1980;
A Cidade Depois;Pedro Paixão;;
A Cidade e a Infância;José Luandino Vieira;;
A Cidade e as Ruas;VARIOS AUTORES;;
A Ciganita;Miguel De Cervantes;;
A Cigarra;Anton Tchekov;;
A Colina da Saudade;Han Suyin;;
A Comuna de Paris;V. I. Lénine;;
A Construção Europeia de 1945 aos Nossos Dias;Pascal Fontaine;;
A Correspondência de Fradique Mendes;Eça Queiroz;;
A Corrida de Flanagan;Tom McNab;;
A Crise da Igreja;Padre Felicidade Alves, D. Hélder Câmara, Camilo Torres, Jean Marie Domenach, Nicolas Boulte, Pierre Bleu;;
A Defesa Costa;Grande Reportagem;;
A Definição das Fronteiras   1096-1297;Margarida Garcez Ventura;;
A Deportação;Publicações Europa América;;
A Descoberta de uma Conspiração;Günter Wallraff;;
A Dispersão dos Sephardim;Amilcar Paulo;;
A espada e a azagaia (Portuguese Edition);Mia Couto;15/04/2016;Editorial Caminho
A Essência do Comércio;Fernando Pessoa;;
A Face Oculta de Hitler;Lothar Machtan;19/11/2001;
A Família de Pacoal Duarte;Camilo José Cela;;
A Força da Idade;Simone De Beauvoir;;
A Força Ignorada das Companheiras;Gina Freitas;;
A Funda 1;Artur Portela Filho;;
A Funda 3;Artur Portela Filho;;
A Funda Volume 2;Artur Portela Filho;;
A Gaia Ciência;Nietzsche;;
A Geologia;Giordano Repossi;;
A guerra civil de Espanha;Hugh Thomas;;
A Herança de Nobel;Edições Público;;
A História Começa na Sumeria;Samuel Noah Kramer;;
A História da Bela Fria;Teresa Veiga;;
A História do Amor;Nicole Krauss;;Dom Quixote
A História do Capuchinho Vermelho Contado as Crianças e nem por isso;Manuel António Pina, Paula Rego;;
A História do Homem nos Últimos Dois Milhões de Anos;Readers Digest;;
A História me Absolverá;Fidel Castro;;
A II Guerra Mundial;Diário De Noticias;;
A ilha debaixo do mar;Isabel Allende;;
A Impossível Evasão;Urbano Tavares Rodrigues;;
A Inquisição está a sair da fogueira;Ípsilon;;
A Instrução dos Amantes;Inês Pedrosa;;
A Jangada de Pedra;José Saramago;;
A Juventude de Alexis;Maxim Gorky;;
A Leste do Paraíso;John Steinbeck;;
A Luz;Stephen King;;
A Luz no Túnel;Jorge Amado;;
A Melodia De Adeus;Nicholas Sparks;;Editorial Presenca
A Melodia De Adeus;Nicholas Sparks;;Editorial Presenca
A Menina do Mar;Sophia De Mello Breyner Andresen;;
A minha avó pede desculpa;Fredrik Backman;;Porto Editora
A Minha Casa é o Teu Coração;Margarida Rebelo Pinto;;
A Monarquia Portuguesa;Readers Digest;;
A Montanha da Alma;Gao Xingjian;;DOM QUIXOTE
A Morte de Catarina Eufémia;Margarida Tengarrinha;;
A Mulher;Sousa Costa;;
A Mulher de Trinta Anos;Honoré Balzac;;
A Máquina do Amor;Jacqueline Susann;;
A Máquina do Tempo;H. G. Wells;;
A Mãe;Bertolt Brecht;;
A Nebulosa de Andrómeda;Ivan Efrémov;;
A Noite;José Saramago;;
A Noite e a Madrugada;Fernando Namora;;
A Noite Roxa;Urbano Tavares Rodrigues;;
A Noiva Judia;Pedro Paixão;;
A Obra ao Negro;Marguerite Yourcenar;;
A Odisseia de Baldassare;Amin Maalouf;;Marcador
A Oposição Libertária em Portugal   1939-1974;Edgar Rodrigues;;
A Origem da 1°Internacional em Lisboa;Carlos Fonseca;;
A Origem do Movimento das Forças Armadas;Luis Ataide Banazol;;
A Perda da Independência  1578-1583;Carlos Margaça Veiga;;
A Personagem;Maria Ondina Braga;;
A Peste;Albert Camus;;
A Pintura nos Grandes Museus;Edições CelBrasil;;
A Pintura nos Grandes Museus;Edições CelBrasil;;
A Poesia e a Vida;Manuel Da Várzea;;
A Politica de informação no Regime Fascista;Presidência Conselho De Ministros;;
A Poltrona e Outras Novelas;Antonio Gedeão;;
A Política da Pornografia;Rousas Rushdoony;;
A Política de Genocídio Contra os Índios do Brasil;Associação De Ex Presos Antifascistas;;
A Política e as Palavras;Alvaro Mateus;;
A Primeira Guerra Mundial;Rui Cardoso;;
A Primeira Guerra Mundial  Volume 2;Martin Gilbert;;
A Primeira Guerra Mundial Volume 7;Martin Gilbert;;
A Promessa;Bernardo Santareno;;
A Queda de um Anjo;Camilo Castelo Branco;;
A Queda dos Gigantes;Ken Follett;;Editorial Presença
A Queda dos Incas;Franz Zedtwitz;;
A Rainha Descalça;Ildefonso Falcones;2013;
A Rainha do Ferro Velho;Garson Kanin;;
A Rainha e Eu;Sue Townsend;;
A rapariga que perdeu o coração;Margarida Rebelo Pinto;;
A Religiosa;Diderot;;
A Relíquia;Eça Queiroz;;
A Resistência Anarco Sindicalista à  Ditadura;Edgar Rodrigues;;
